x,y,Depth,SST,NPP,DistToCAS,EKE,off.set,LinkID
497984.6181,668253.9925,2811.1138,21.1425,1028.2867,11873.6309,0.0201,1e+08,290
507984.6181,668253.9925,3186.5615,21.6206,992.4576,4573.3076,0.0495,1e+08,291
517984.6181,668253.9925,3236.6958,22.113,1073.4136,992.3999,0.1029,1e+08,292
527984.6181,668253.9925,3280.0962,22.6159,1160.5051,1368.5933,0.151,1e+08,293
537984.6181,668253.9925,3501.3499,23.1407,1231.8013,4387.9829,0.1856,1e+08,294
547984.6181,668253.9925,3612.1038,23.6599,1202.425,12638.0576,0.2157,1e+08,295
557984.6181,668253.9925,3725.1873,23.8903,1155.9318,14972.7773,0.2014,1e+08,296
567984.6181,668253.9925,3775.5117,24.0228,1129.3231,7906.9883,0.1893,1e+08,297
577984.6181,668253.9925,3242.8857,23.9265,1074.8527,2318.7195,0.1553,1e+08,298
587984.6181,668253.9925,3553.2168,23.7849,1000.5638,2366.7573,0.1194,1e+08,299
597984.6181,668253.9925,3903.0491,23.6048,1148.8597,8938.4307,0.0811,1e+08,300
